model,layer,head,cos_self,cos_null,excess,n,kv_group,n_kv_heads,cos_across_group,status,run_id
gpt2,9,11,0.3618791083456089,0.352452021729696,0.009427086615912905,13781,11,12,nan,completed,7600d12b0536
gpt2,10,0,0.33476060157781895,0.26579888286726167,0.06896171871055728,13781,0,12,nan,completed,7600d12b0536
gpt2,10,1,0.459207216158269,0.4325133998078387,0.026693816350430277,13781,1,12,nan,completed,7600d12b0536
gpt2,10,2,0.336254047031308,0.3033414663918868,0.03291258063942121,13781,2,12,nan,completed,7600d12b0536
gpt2,10,3,0.4512908166636084,0.4158590511541934,0.03543176550941496,13781,3,12,nan,completed,7600d12b0536
gpt2,10,4,0.494770798009119,0.39350059604728604,0.10127020196183295,13781,4,12,nan,completed,7600d12b0536
gpt2,10,5,0.5356128179976012,0.28564797503894357,0.24996484295865762,13781,5,12,nan,completed,7600d12b0536
gpt2,10,6,0.39184244315164035,0.3504172449486981,0.04142519820294227,13781,6,12,nan,completed,7600d12b0536
gpt2,10,7,0.39225166096747605,0.30632264042962776,0.08592902053784829,13781,7,12,nan,completed,7600d12b0536
gpt2,10,8,0.3006026639004412,0.2251652562997168,0.07543740760072443,13781,8,12,nan,completed,7600d12b0536
gpt2,10,9,0.6091918313618707,0.26519846949650067,0.34399336186537005,13781,9,12,nan,completed,7600d12b0536
gpt2,10,10,0.2908402922396632,0.2757238212328846,0.015116471006778598,13781,10,12,nan,completed,7600d12b0536
gpt2,10,11,0.5717100160498405,0.3178475646461198,0.2538624514037207,13781,11,12,nan,completed,7600d12b0536
gpt2,11,0,0.7107474621772976,0.6471751849565096,0.06357227722078795,13781,0,12,nan,completed,7600d12b0536
gpt2,11,1,0.5157111577277389,0.4273194545094653,0.08839170321827361,13781,1,12,nan,completed,7600d12b0536
