model,layer,head,delta_half_a,delta_half_b,delta_pooled,cos_self_half_a,cos_self,cos_self_half_b,cos_null_half_a,cos_null,cos_null_half_b,excess_half_a,excess,excess_half_b
EleutherAI/pythia-410m,9,4,0.0064058078555611075,0.0033280980868601873,0.004866952971210647,0.33300220033206407,0.33300220033206407,0.3212992837065233,0.21823138740441303,0.21823138740441303,0.20985453140830562,0.11477081292765104,0.11477081292765104,0.11144475229821765
EleutherAI/pythia-410m,9,5,0.010015052134596303,0.006927249938484259,0.008471151036540281,0.4560963972749659,0.4560963972749659,0.45130042217098393,0.1125765996728547,0.1125765996728547,0.10901761770965077,0.3435197976021112,0.3435197976021112,0.3422828044613332
EleutherAI/pythia-410m,9,6,0.003357414185531482,0.0006125142255166693,0.0019849642055240757,0.1998711110716222,0.1998711110716222,0.20953278192058022,0.1232403650994694,0.1232403650994694,0.13285178529395997,0.0766307459721528,0.0766307459721528,0.07668099662662026
EleutherAI/pythia-410m,9,7,0.011745663139763884,0.008768877645176865,0.010257270392470375,0.5882066490928707,0.5882066490928707,0.5859299288901789,0.25823772398828276,0.25823772398828276,0.2411113769910392,0.3299689251045879,0.3299689251045879,0.3448185518991397
EleutherAI/pythia-410m,9,8,0.006287582277312964,0.005658487635334719,0.005973034956323842,0.34697566030738813,0.34697566030738813,0.38150600947733954,0.09913245984394169,0.09913245984394169,0.09964239278498957,0.24784320046344643,0.24784320046344643,0.28186361669234994
EleutherAI/pythia-410m,9,9,0.004521647776205562,0.009902593657726388,0.007212120716965975,0.4158266760152372,0.4158266760152372,0.43645722619054944,0.13820064962090275,0.13820064962090275,0.14789347105090464,0.2776260263943344,0.2776260263943344,0.28856375513964483
EleutherAI/pythia-410m,9,10,0.008383443036417138,-0.0038408895177166613,0.002271276759350238,0.41831981354702774,0.41831981354702774,0.40959862006639136,0.18998651229721256,0.18998651229721256,0.18829812633470144,0.22833330124981518,0.22833330124981518,0.22130049373168992
EleutherAI/pythia-410m,9,11,0.007838692252091661,0.004327969288262512,0.006083330770177087,0.3026301006774179,0.3026301006774179,0.30150047691891924,0.22317765604114717,0.22317765604114717,0.21628804126298048,0.07945244463627074,0.07945244463627074,0.08521243565593875
EleutherAI/pythia-410m,9,12,0.007255974717027769,0.003050556333046295,0.005153265525037032,0.4699126723376336,0.4699126723376336,0.47164561704702584,0.22211816412300237,0.22211816412300237,0.22106921715016856,0.24779450821463125,0.24779450821463125,0.2505763998968573
EleutherAI/pythia-410m,9,13,0.004251795490895827,0.006758321927288424,0.0055050587090921255,0.5139356233648367,0.5139356233648367,0.4992842868651055,0.23182095907434294,0.23182095907434294,0.2234714277139629,0.2821146642904937,0.2821146642904937,0.2758128591511426
EleutherAI/pythia-410m,9,14,0.0014263964074805457,0.007582536832554165,0.0045044666200173555,0.47192315076577285,0.47192315076577285,0.45853996772603844,0.2675936988153713,0.2675936988153713,0.2466338747614049,0.20432945195040153,0.20432945195040153,0.21190609296463356
EleutherAI/pythia-410m,9,15,0.007791353961614345,-0.00031695027989675495,0.003737201840858795,0.40886544914201206,0.40886544914201206,0.40816213613335733,0.2588771874314644,0.2588771874314644,0.24598915623338363,0.1499882617105477,0.1499882617105477,0.1621729798999737
EleutherAI/pythia-410m,10,0,-0.00015282818651574104,-0.00035203347994583467,-0.00025243083323078785,0.014785352535331343,0.014785352535331343,0.006376488908648659,0.03700120997709939,0.03700120997709939,0.03125676632275397,-0.022215857441768044,-0.022215857441768044,-0.02488027741410531
EleutherAI/pythia-410m,10,1,0.006701371801181022,0.005051980807086576,0.005876676304133799,0.47692715323560203,0.47692715323560203,0.4633823100571037,0.18034873786266184,0.18034873786266184,0.17485464840252807,0.29657841537294016,0.29657841537294016,0.2885276616545756
EleutherAI/pythia-410m,10,2,0.00511998454416851,-0.0011935496893458186,0.0019632174274113456,0.41859687529283496,0.41859687529283496,0.4267195823295327,0.21681779791184877,0.21681779791184877,0.21334940302509714,0.2017790773809862,0.2017790773809862,0.21337017930443558
